testtype	optype	sec_x_1000	latenta	secunda	target ops	operations/recordcount	threads
100SEC	[READ]	1000	22084.736	1	500	50000	100
100SEC	[READ]	2000	21929.404	2	500	50000	100
100SEC	[READ]	3000	22240.564	3	500	50000	100
100SEC	[READ]	4000	22545.882	4	500	50000	100
100SEC	[READ]	5000	22112.794	5	500	50000	100
100SEC	[READ]	6000	21801.238	6	500	50000	100
100SEC	[READ]	7000	21861.838	7	500	50000	100
100SEC	[READ]	8000	21803.316	8	500	50000	100
100SEC	[READ]	9000	21790.534	9	500	50000	100
100SEC	[READ]	10000	21620.372	10	500	50000	100
100SEC	[READ]	11000	21614.99	11	500	50000	100
100SEC	[READ]	12000	21667.218	12	500	50000	100
100SEC	[READ]	13000	21661.866	13	500	50000	100
100SEC	[READ]	14000	22751.93	14	500	50000	100
100SEC	[READ]	15000	21689.236	15	500	50000	100
100SEC	[READ]	16000	21774.39	16	500	50000	100
100SEC	[READ]	17000	27102.64	17	500	50000	100
100SEC	[READ]	18000	22480.25	18	500	50000	100
100SEC	[READ]	19000	21778.292	19	500	50000	100
100SEC	[READ]	20000	21495.572	20	500	50000	100
100SEC	[READ]	21000	21416.588	21	500	50000	100
100SEC	[READ]	22000	21461.698	22	500	50000	100
100SEC	[READ]	23000	21479.71717	23	500	50000	100
100SEC	[READ]	24000	23952.07327	24	500	50000	100
100SEC	[READ]	25000	21410.584	25	500	50000	100
100SEC	[READ]	26000	24026.586	26	500	50000	100
100SEC	[READ]	27000	21441.13	27	500	50000	100
100SEC	[READ]	28000	21758.862	28	500	50000	100
100SEC	[READ]	29000	21597.186	29	500	50000	100
100SEC	[READ]	30000	21411.84	30	500	50000	100
100SEC	[READ]	31000	21389.986	31	500	50000	100
100SEC	[READ]	32000	21646.434	32	500	50000	100
100SEC	[READ]	33000	21563.2485	33	500	50000	100
100SEC	[READ]	34000	26843.5509	34	500	50000	100
100SEC	[READ]	35000	21444.478	35	500	50000	100
100SEC	[READ]	36000	21425.74	36	500	50000	100
100SEC	[READ]	37000	21445.378	37	500	50000	100
100SEC	[READ]	38000	21431.916	38	500	50000	100
100SEC	[READ]	39000	21631.178	39	500	50000	100
100SEC	[READ]	40000	21439.074	40	500	50000	100
100SEC	[READ]	41000	21414.246	41	500	50000	100
100SEC	[READ]	42000	21429.07	42	500	50000	100
100SEC	[READ]	43000	22090.17	43	500	50000	100
100SEC	[READ]	44000	21603.842	44	500	50000	100
100SEC	[READ]	45000	21400.13	45	500	50000	100
100SEC	[READ]	46000	21391.502	46	500	50000	100
100SEC	[READ]	47000	22166.134	47	500	50000	100
100SEC	[READ]	48000	21888.578	48	500	50000	100
100SEC	[READ]	49000	21675.152	49	500	50000	100
100SEC	[READ]	50000	21415.644	50	500	50000	100
