Companie;Domeniu;cifraafaceri;Profil;nrparteneri;nrangajati;nrsubsidiare;nrcontinente;nrtari;Continente;Standard;nrdocumente;Metode de arhivare;partneneri;Metode de e-invoicing,,
Comp5;mixt;1.14297E+14;automotive;30000; 271370;171;6;43;Toate;VDA (4913) or EDIFACT (DESADV) ;130000000;Third party;Da;Connectivity services for e-invoicing,,
BMW;privat;7.684E+12;automotive;20000;105876;124;6;28;Toate;VDA (4938) or EDIFACT;20000000;Third party;Da;Connectivity services for e-invoicing,,
Comp3;privat;44096000000;automotive;30000;59513;9;2;8;Europa, Asia;VDA (4938) or SAP IDOC 46C;10000000;Third party;Da;Connectivity services for e-invoicing,
Continental;privat;3.27E+11;automotive;20000;163788;70;5;21;Toate;EDIFACT;150000000;Third party;Da;Connectivity services for e-invoicing,,
Lidl;privat;59000000000;retail;1000; 167684;5000;1;29;Europa  ;EDIFACT;40000000;Third party;Da;Connectivity services for e-invoicing,,
Edeka;privat;3.253E+13;retail;3000;250000;4100;1;1;Europa;EDIFACT;80000000;Third party;Nu;Connectivity services for e-invoicing,,
MAN Truck & Bus;privat;15000000000;automotive;20000;50000;129;4;11;Toate;SAP IDOC 46C sau XML sau EDIFACT;150000000;Third party;Da;Connectivity services for e-invoicing,,
Comp6;privat;3.02E+11;automotive;30000;55700;89;4;18;Toate;EDIFACT;100000000;Third party;Da;Connectivity services for e-invoicing,,
Vattenfall;privat;1.876E+12;productie;5000;32790;11;1;8;Europa;TEAPPS;50000000;Third party;Da;Connectivity services for e-invoicing,,
Carlsberg;privat;1.04E+11;productie;1000;41708;35;3;33;Europa, Asia, Africa;TEAPPS;120000000;Third party;Da;Connectivity services for e-invoicing
Volkswagen AG;privat;1.93E+11;automotive;15000;570000;75;6;30;Toate;VDA (4938) sau EDIFACT;70000000;Third party;Da;Connectivity services for e-invoicing,,
Evobus GmbH;privat;2218000000;automotive;10000;14382;17;2;15;Europa, Asia;VDA (4913) or EDIFACT (DESADV) ;40000000;Third party;Da;Connectivity services for e-invoicing,
Ryska Posta;public;NA;servicii;500;2800;1;1;1;Europa;TEAPPS;25000;Third party;Nu;Connectivity services for e-invoicing,,
R u. V Versicherung;privat;49396000000;servicii;10000;12583;26;1;1;Europa;Open trans 2.1;10000000;Third party;Nu;Connectivity services for e-invoicing,,
Scania;privat;442000000;automotive;2000;38597;10;2;7;Europa, America de Sud;OB10;10000000;Third party;Da;Connectivity services for e-invoicing,
Comp1;privat;1000000000;financiar;33000000;60000;76;5;14;Toate;EDIFACT;20000000;Third party;Da;Connectivity services for e-invoicing,,
Mercedes Benz;privat;6.166E+12;automotive;10000;23000;13;2;6;Europa, Asia;VDA (4913) or EDIFACT (DESADV) ;50000000;Third party;Da;Connectivity services for e-invoicing,
Kaufland;privat;4.31E+11;retail;5000; 73000;1000;1;7;Europa;EDIFACT;60000000;Third party;Nu;Connectivity services for e-invoicing,,
