Model	Displ	Cyl	Trans	Drive	Fuel	Cert Region	Stnd	Stnd Description	Underhood ID	Veh Class	Air Pollution Score	City MPG	Hwy MPG	Cmb MPG	Greenhouse Gas Score	SmartWay	Comb CO2
ACURA ILX	2.4	4	AMS-8	2WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	JHNXV02.4NH3	small car	3	25	35	29	6	No	309
ACURA ILX	2.4	4	AMS-8	2WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	JHNXV02.4NH3	small car	3	25	35	29	6	No	309
ACURA MDX	3	6	AMS-7	4WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	JHNXV03.08H3	small SUV	3	26	27	27	6	No	330
ACURA MDX	3	6	AMS-7	4WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	JHNXV03.08H3	small SUV	3	26	27	27	6	No	330
ACURA MDX	3.5	6	SemiAuto-9	2WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	JHNXV03.5RH3	small SUV	3	19	27	22	4	No	404
ACURA MDX	3.5	6	SemiAuto-9	2WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	JHNXV03.5RH3	small SUV	3	20	27	23	5	No	390
ACURA MDX	3.5	6	SemiAuto-9	2WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	JHNXV03.5RH3	small SUV	3	19	27	22	4	No	404
ACURA MDX	3.5	6	SemiAuto-9	2WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	JHNXV03.5RH3	small SUV	3	20	27	23	5	No	390
ACURA MDX	3.5	6	SemiAuto-9	4WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	JHNXV03.5RH3	small SUV	3	18	26	21	4	No	424
ACURA MDX	3.5	6	SemiAuto-9	4WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	JHNXV03.5RH3	small SUV	3	19	26	22	4	No	404
ACURA MDX	3.5	6	SemiAuto-9	4WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	JHNXV03.5RH3	small SUV	3	18	26	21	4	No	424
ACURA MDX	3.5	6	SemiAuto-9	4WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	JHNXV03.5RH3	small SUV	3	19	26	22	4	No	404
ACURA NSX	3.5	6	AMS-9	4WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	JHNXV03.5CH4	small car	3	21	22	21	4	No	420
ACURA NSX	3.5	6	AMS-9	4WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	JHNXV03.5CH4	small car	3	21	22	21	4	No	420
ACURA RDX	3.5	6	SemiAuto-6	2WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	JHNXT03.5GV3	small SUV	3	20	28	23	5	No	386
ACURA RDX	3.5	6	SemiAuto-6	2WD	Gasoline	CA	U2	California LEV-II ULEV	JHNXT03.5GV3	small SUV	3	20	28	23	5	No	386
ACURA RDX	3.5	6	SemiAuto-6	4WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	JHNXT03.5GV3	small SUV	3	19	27	22	4	No	402
ACURA RDX	3.5	6	SemiAuto-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	JHNXT03.5GV3	small SUV	3	19	27	22	4	No	402
ACURA RLX	3.5	6	AMS-7	4WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	JHNXV03.5BK3	midsize car	7	28	29	28	6	No	316
ACURA RLX	3.5	6	AMS-7	4WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	JHNXV03.5BK3	midsize car	7	28	29	28	6	No	316
ACURA RLX	3.5	6	SemiAuto-10	2WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	JHNXV03.5PH4	midsize car	3	20	29	23	5	No	383
ACURA RLX	3.5	6	SemiAuto-10	2WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	JHNXV03.5PH4	midsize car	3	20	29	23	5	No	383
ACURA TLX	2.4	4	AMS-8	2WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	JHNXV02.4WH3	small car	3	23	33	27	6	No	330
ACURA TLX	2.4	4	AMS-8	2WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	JHNXV02.4WH3	small car	3	23	33	27	6	No	330
ACURA TLX	3.5	6	SemiAuto-9	2WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	JHNXV03.5LH3	small car	3	20	32	24	5	No	368
ACURA TLX	3.5	6	SemiAuto-9	2WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	JHNXV03.5LH3	small car	3	20	32	24	5	No	368
ACURA TLX	3.5	6	SemiAuto-9	4WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	JHNXV03.5LH3	small car	3	21	30	24	5	No	369
ACURA TLX	3.5	6	SemiAuto-9	4WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	JHNXV03.5LH3	small car	3	21	30	24	5	No	369
ACURA TLX AWD A-SPEC	3.5	6	SemiAuto-9	4WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	JHNXV03.5LH3	small car	3	20	29	23	5	No	387
ACURA TLX AWD A-SPEC	3.5	6	SemiAuto-9	4WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	JHNXV03.5LH3	small car	3	20	29	23	5	No	387
ACURA TLX FWD A-SPEC	3.5	6	SemiAuto-9	2WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	JHNXV03.5LH3	small car	3	20	30	23	5	No	382
