Model	Displ	Cyl	Trans	Drive	Fuel	Cert Region	Stnd	Stnd Description	Underhood ID	Veh Class	Air Pollution Score	City MPG	Hwy MPG	Cmb MPG	Greenhouse Gas Score	SmartWay	Comb CO2
ACURA MDX	3	6	AMS-7	4WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	KHNXV03.0AH3	small SUV	3	26	27	27	6	No	330
ACURA MDX	3	6	AMS-7	4WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	KHNXV03.0AH3	small SUV	3	26	27	27	6	No	330
ACURA MDX	3.5	6	SemiAuto-9	2WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	KHNXV03.5PH3	small SUV	3	20	27	23	5	No	387
ACURA MDX	3.5	6	SemiAuto-9	2WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	KHNXV03.5PH3	small SUV	3	20	27	23	5	No	387
ACURA MDX	3.5	6	SemiAuto-9	4WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	KHNXV03.5PH3	small SUV	3	19	26	22	4	No	404
ACURA MDX	3.5	6	SemiAuto-9	4WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	KHNXV03.5PH3	small SUV	3	19	26	22	4	No	404
ACURA MDX A-spec	3.5	6	SemiAuto-9	4WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	KHNXV03.5PH3	small SUV	3	19	25	21	4	No	415
ACURA MDX A-spec	3.5	6	SemiAuto-9	4WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	KHNXV03.5PH3	small SUV	3	19	25	21	4	No	415
ACURA RDX	2	4	SemiAuto-10	2WD	Gasoline	CA	L3ULEV50	California LEV-III ULEV50	KHNXT02.0823	small SUV	6	22	28	24	5	No	370
ACURA RDX	2	4	SemiAuto-10	2WD	Gasoline	FA	T3B50	Federal Tier 3 Bin 50	KHNXT02.0823	small SUV	6	22	28	24	5	No	370
ACURA RDX	2	4	SemiAuto-10	4WD	Gasoline	CA	L3ULEV50	California LEV-III ULEV50	KHNXT02.0823	small SUV	6	21	27	23	5	No	385
ACURA RDX	2	4	SemiAuto-10	4WD	Gasoline	FA	T3B50	Federal Tier 3 Bin 50	KHNXT02.0823	small SUV	6	21	27	23	5	No	385
ACURA RDX A-SPEC	2	4	SemiAuto-10	2WD	Gasoline	CA	L3ULEV50	California LEV-III ULEV50	KHNXT02.0923	small SUV	6	22	27	24	5	No	374
ACURA RDX A-SPEC	2	4	SemiAuto-10	2WD	Gasoline	FA	T3B50	Federal Tier 3 Bin 50	KHNXT02.0923	small SUV	6	22	27	24	5	No	374
ACURA RDX A-SPEC	2	4	SemiAuto-10	4WD	Gasoline	CA	L3ULEV50	California LEV-III ULEV50	KHNXT02.0923	small SUV	6	21	26	23	5	No	385
ACURA RDX A-SPEC	2	4	SemiAuto-10	4WD	Gasoline	FA	T3B50	Federal Tier 3 Bin 50	KHNXT02.0923	small SUV	6	21	26	23	5	No	385
ACURA RLX	3.5	6	AMS-7	4WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	KHNXV03.5FL3	midsize car	7	28	29	28	6	No	316
ACURA RLX	3.5	6	AMS-7	4WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	KHNXV03.5FL3	midsize car	7	28	29	28	6	No	316
ACURA RLX	3.5	6	SemiAuto-10	2WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	KHNXV03.5MH4	midsize car	3	20	29	23	5	No	383
ACURA RLX	3.5	6	SemiAuto-10	2WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	KHNXV03.5MH4	midsize car	3	20	29	23	5	No	383
ACURA TLX	2.4	4	AMS-8	2WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	KHNXV02.4VH3	small car	3	23	33	27	6	No	330
ACURA TLX	2.4	4	AMS-8	2WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	KHNXV02.4VH3	small car	3	23	33	27	6	No	330
ACURA TLX	3.5	6	SemiAuto-9	2WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	KHNXV03.5HH3	small car	3	20	31	24	5	No	376
ACURA TLX	3.5	6	SemiAuto-9	2WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	KHNXV03.5HH3	small car	3	20	31	24	5	No	376
ACURA TLX	3.5	6	SemiAuto-9	4WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	KHNXV03.5HH3	small car	3	20	29	23	5	No	379
ACURA TLX	3.5	6	SemiAuto-9	4WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	KHNXV03.5HH3	small car	3	20	29	23	5	No	379
ACURA TLX AWD A-SPEC	3.5	6	SemiAuto-9	4WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	KHNXV03.5HH3	small car	3	20	29	23	5	No	387
ACURA TLX AWD A-SPEC	3.5	6	SemiAuto-9	4WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	KHNXV03.5HH3	small car	3	20	29	23	5	No	387
